ImageName	MouseID	SpotID	TimePoint	DayAfterInduction
2019_06_05__14_35_52h__channel00.tif	bf2981	SPOT1	1	d5/
2019_06_06__15_13_32h__channel00.tif	bf2981	SPOT1	2	d6/
2019_06_07__12_58_03h__channel00.tif	bf2981	SPOT1	3	d7/
2019_06_08__15_16_00h__channel00.tif	bf2981	SPOT1	4	d8/
2019_06_09__13_21_41h__channel00.tif	bf2981	SPOT1	5	d9/
2019_06_10__14_58_20h__channel00.tif	bf2981	SPOT1	6	d10/
2019_06_11__12_16_00h__channel00.tif	bf2981	SPOT1	7	d11/
2019_06_12__11_59_25h__channel00.tif	bf2981	SPOT1	8	d12/
2019_06_13__15_41_15h__channel00.tif	bf2981	SPOT1	9	d13/
2019_06_14__16_34_52h__channel00.tif	bf2981	SPOT1	10	d14/
2019_06_15__15_23_49h__channel00.tif	bf2981	SPOT1	11	d15/
2019_06_16__12_58_56h__channel00.tif	bf2981	SPOT1	12	d16/
2019_06_17__15_21_49h__channel00.tif	bf2981	SPOT1	13	d17/
2019_06_18__15_27_48h__channel00.tif	bf2981	SPOT1	14	d18/
2019_06_19__15_20_45h__channel00.tif	bf2981	SPOT1	15	d19/
2019_06_20__17_57_03h__channel00.tif	bf2981	SPOT1	16	d20/
2019_06_21__14_07_52h__channel00.tif	bf2981	SPOT1	17	d21/
2019_06_22__13_31_09h__channel00.tif	bf2981	SPOT1	18	d22/
2019_06_23__12_18_23h__channel00.tif	bf2981	SPOT1	19	d23/
2019_06_24__19_57_08h__channel00.tif	bf2981	SPOT1	20	d24/
2019_06_25__20_10_11h__channel00.tif	bf2981	SPOT1	21	d25/
2019_06_26__19_24_18h__channel00.tif	bf2981	SPOT1	22	d26/
2019_06_27__14_33_47h__channel00.tif	bf2981	SPOT1	23	d27/
2019_06_28__16_11_23h__channel00.tif	bf2981	SPOT1	24	d28/
2019_06_29__14_52_32h__channel00.tif	bf2981	SPOT1	25	d29/
2019_06_30__14_50_16h__channel00.tif	bf2981	SPOT1	26	d30/
2019_07_01__13_39_47h__channel00.tif	bf2981	SPOT1	27	d31/
2019_07_02__15_02_26h__channel00.tif	bf2981	SPOT1	28	d32/
