 	Label	X	Y	Slice	Frame
1	Image5D_bf2983_SPOT7.tif:1-1_1_1_NA_NA_1_1_NA_1:14	256.000	197.333	14	1
2	Image5D_bf2983_SPOT7.tif:1-1_1_2_NA_NA_1_1_NA_1:37	265.333	194.000	14	2
3	Image5D_bf2983_SPOT7.tif:1-1_1_3_NA_NA_1_1_NA_1:60	271.333	191.333	14	3
4	Image5D_bf2983_SPOT7.tif:1-1_1_4_NA_NA_1_1_NA_1:84	272.667	202.000	15	4
5	Image5D_bf2983_SPOT7.tif:1-1_1_5_NA_NA_1_1_NA_1:107	276.667	203.333	15	5
6	Image5D_bf2983_SPOT7.tif:1-1_1_6_NA_NA_1_1_NA_1:130	284.667	198.667	15	6
7	Image5D_bf2983_SPOT7.tif:1-1_1_7_NA_NA_1_1_NA_1:153	288.000	209.333	15	7
8	Image5D_bf2983_SPOT7.tif:1-1_1_8_NA_NA_1_1_NA_1:176	290.667	202.667	15	8
9	Image5D_bf2983_SPOT7.tif:2-1_1_9_1-1_1_1_2-2_1:200	292.000	204.667	16	9
10	Image5D_bf2983_SPOT7.tif:2-2_2_9_1-1_1_1_2-1_1:200	304.667	210.000	16	9
11	Image5D_bf2983_SPOT7.tif:2-1_1_10_1-1_1_1_2-2_1:221	286.000	206.667	14	10
12	Image5D_bf2983_SPOT7.tif:2-2_2_10_1-1_1_1_2-1_1:221	297.333	211.333	14	10
13	Image5D_bf2983_SPOT7.tif:2-1_1_11_1-1_1_1_2-2_1:244	290.000	205.333	14	11
14	Image5D_bf2983_SPOT7.tif:2-2_2_11_1-1_1_1_2-1_1:244	303.333	209.333	14	11
15	Image5D_bf2983_SPOT7.tif:2-1_1_12_1-1_1_1_2-2_1:267	284.667	205.333	14	12
16	Image5D_bf2983_SPOT7.tif:3-1_2_12_2-2_1_1_3-2_1:267	299.333	212.667	14	12
17	Image5D_bf2983_SPOT7.tif:3-2_2_12_2-2_1_1_3-1_1:267	309.333	196.667	14	12
18	Image5D_bf2983_SPOT7.tif:2-1_1_13_1-1_1_1_2-2_1:291	292.667	207.333	15	13
19	Image5D_bf2983_SPOT7.tif:3-1_2_13_2-2_1_1_3-2_1:291	304.000	214.667	15	13
20	Image5D_bf2983_SPOT7.tif:3-2_2_13_2-2_1_1_3-1_1:291	315.333	202.667	15	13
21	Image5D_bf2983_SPOT7.tif:2-1_1_14_1-1_1_1_2-2_1:313	284.000	206.667	14	14
22	Image5D_bf2983_SPOT7.tif:3-1_2_14_2-2_1_1_3-2_1:313	303.333	212.000	14	14
23	Image5D_bf2983_SPOT7.tif:3-2_2_14_2-2_1_1_3-1_1:313	315.333	194.000	14	14
24	Image5D_bf2983_SPOT7.tif:2-1_1_15_1-1_1_1_2-2_1:336	315.333	194.000	14	14
25	Image5D_bf2983_SPOT7.tif:3-1_2_15_2-2_1_1_3-2_1:336	303.333	207.333	14	15
26	Image5D_bf2983_SPOT7.tif:4-1_2_15_3-2_1_1_4-2_1:336	313.333	196.000	14	15
27	Image5D_bf2983_SPOT7.tif:4-2_2_15_3-2_1_1_4-1_1:336	303.333	175.333	14	15
28	Image5D_bf2983_SPOT7.tif:3-1_2_16_2-2_1_1_3-2_1:357	300.667	217.333	12	16
29	Image5D_bf2983_SPOT7.tif:3-3_3_16_2-1_1_1_3-4_1:357	284.667	216.000	12	16
30	Image5D_bf2983_SPOT7.tif:3-4_2_16_2-1_1_1_3-3_1:357	285.333	201.333	12	16
31	Image5D_bf2983_SPOT7.tif:4-1_2_16_3-2_1_1_4-2_1:357	315.333	212.000	12	16
32	Image5D_bf2983_SPOT7.tif:5-1_3_16_4-2_1_1_5-2_1:357	312.667	195.333	12	16
33	Image5D_bf2983_SPOT7.tif:5-2_2_16_4-2_1_1_5-1_1:357	304.667	173.333	12	16
34	Image5D_bf2983_SPOT7.tif:3-1_2_17_2-2_1_1_3-2_1:382	300.000	217.333	14	17
35	Image5D_bf2983_SPOT7.tif:3-3_3_17_2-1_1_1_3-4_1:382	288.000	217.333	14	17
36	Image5D_bf2983_SPOT7.tif:3-4_2_17_2-1_1_1_3-3_1:382	285.333	192.667	14	17
37	Image5D_bf2983_SPOT7.tif:4-1_2_17_3-2_1_1_4-2_1:382	316.667	206.000	14	17
38	Image5D_bf2983_SPOT7.tif:5-1_3_17_4-2_1_1_5-2_1:382	303.333	184.000	14	17
39	Image5D_bf2983_SPOT7.tif:6-1_3_17_5-2_1_1_6-2_1:382	304.667	171.333	14	17
40	Image5D_bf2983_SPOT7.tif:6-2_2_17_5-2_1_1_6-1_1:382	287.333	150.000	14	17
41	Image5D_bf2983_SPOT7.tif:3-1_2_18_2-2_1_1_3-2_1:404	296.000	216.667	13	18
42	Image5D_bf2983_SPOT7.tif:3-3_3_18_2-1_1_1_3-4_1:404	282.000	216.000	13	18
43	Image5D_bf2983_SPOT7.tif:3-4_2_18_2-1_1_1_3-3_1:404	276.667	198.000	13	18
44	Image5D_bf2983_SPOT7.tif:5-1_3_18_4-2_1_1_5-2_1:404	298.000	181.333	13	18
45	Image5D_bf2983_SPOT7.tif:5-3_3_18_4-1_1_1_5-4_1:404	308.000	195.333	13	18
46	Image5D_bf2983_SPOT7.tif:5-4_2_18_4-1_1_1_5-3_1:404	309.333	205.333	13	18
47	Image5D_bf2983_SPOT7.tif:6-1_3_18_5-2_1_1_6-2_1:404	298.667	162.667	13	18
48	Image5D_bf2983_SPOT7.tif:6-2_2_18_5-2_1_1_6-1_1:404	277.333	144.000	13	18
49	Image5D_bf2983_SPOT7.tif:3-3_3_19_2-1_1_1_3-4_1:429	278.000	187.333	15	19
50	Image5D_bf2983_SPOT7.tif:3-4_2_19_2-1_1_1_3-3_1:429	288.667	212.667	15	19
51	Image5D_bf2983_SPOT7.tif:4-3_3_19_3-1_1_1_4-4_1:429	304.667	237.333	15	19
52	Image5D_bf2983_SPOT7.tif:4-4_3_19_3-1_1_1_4-3_1:429	298.000	210.667	15	19
53	Image5D_bf2983_SPOT7.tif:5-1_3_19_4-2_1_1_5-2_1:429	301.333	178.000	15	19
54	Image5D_bf2983_SPOT7.tif:5-3_3_19_4-1_1_1_5-4_1_0:429	316.667	177.333	15	19
55	Image5D_bf2983_SPOT7.tif:5-4_2_19_4-1_1_1_5-3_1:429	319.333	202.667	15	19
56	Image5D_bf2983_SPOT7.tif:6-1_3_19_5-2_1_1_6-2_1:429	292.667	149.333	15	19
57	Image5D_bf2983_SPOT7.tif:6-2_2_19_5-2_1_1_6-1_1:429	276.667	139.333	15	19
58	Image5D_bf2983_SPOT7.tif:3-3_3_20_2-1_1_1_3-4_1:452	278.667	228.667	15	20
